OBJECTID,contract_number,contract_description,contractor_id,contractor_name,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1,aging,,,
1582,91700239,REPLACE DEAD TREES IN VARIOUS AREAS IN COA        ,8779,DAVENPORT & COMPANY LLC,CLOSED,GS   (GEN SERV),,2018/08/14 00:00:00+00,6884,6884,10329,LANDMARK LANDSCAPES,1581,61-90,,,
1583,92000074,SOUTH SLOPE VISION                                ,9086,WIBBY ENVIRONMENTAL,CLOSED,GS   (GEN SERV),,2021/08/02 00:00:00+00,20000,20000,16964,"MCMILLAN PAZDAN SMITH, LLC",1582,Current,,,
1584,91300046,BELE CHERE SMALL EQUIPMENT RENTAL                 ,19978,"BULLINGTON CONSTRUCTION, INC.",CLOSED,RNT  (EQUIP RENT),,2013/04/15 00:00:00+00,2973,2726.75,6405,"SUNBELT RENTALS,INC",1583,90+,,,
1585,91200323,TRANSIT GARAGE ROOF REPLACEMENT                   ,2400,S.E.STEWART & SON PLUMBING,CLOSED,CON  (CONSTUCT/R),,2015/08/04 00:00:00+00,152000,152873,4174,CAROLINA MOUNTAIN ROOFING,1584,1-30,,,
1586,91800241,GREEN OPPORTUNITIES CDBG WORKFORCE DEVELOP FY17-18,32418,"DAVEY RESOURCE GROUP, INC.",CLOSED,HUD (GEN SERV-HUD),CDBG,2019/06/07 00:00:00+00,202989,202923.3,9012,GREEN OPPORTUNITIES INC,1585,90+,,,
1587,91100088,BC ENTERTAINER - VIPERS DREAM                     ,11329,"BETSCH ASSOCIATES, I",CLOSED,ENT  (ENTERTAIN),,2010/07/02 00:00:00+00,400,400,10722,"MASTERS, ADAM",1586,31-60,,,
1588,92000456,CITY HALL 7TH FL FIRE SPRINKLER REWORK            ,23225,ASHEVILLE MUSEUM OF SCIENCE,CLOSED,CON  (CONSTUCT/R),,2020/06/04 00:00:00+00,5495,5495,5519,"JOHNSON CONTROLS, INC.",1587,90+,,,
1589,91900050,TEMPORARY STAFFING SERVICE - SANITATION DIVISION  ,18553,"DEANGELO BROTHERS, INC.",CLOSED,GS   (GEN SERV),,2018/09/06 00:00:00+00,24000,5487.5,9012,GREEN OPPORTUNITIES INC,1588,61-90,,,
1590,91100027,"INFLATABLES, DUNKING BOOTH & STAFFING             ",10702,SCOTS SOUND. INC.,CLOSED,GS   (GEN SERV),,2010/07/01 00:00:00+00,1115,1115,10142,PAR-T-PERFECT/DOUGLAS HUTCHINS,1589,Current,,,
1591,91200240,SIXTH FLOOR AREA                                  ,10652,CONSOLIDATED ELECTRICAL DIST.,CLOSED,CON  (CONSTUCT/R),,2012/02/08 00:00:00+00,12168,17688,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,1590,Current,,,
1592,91900292,REPAIR OF WALL/BUS SHELTER 507 N LOUISIANA AVE    ,10813,"HADEN, ROBERT",CLOSED,CON  (CONSTUCT/R),,2019/06/28 00:00:00+00,3270,3270,27758,MATTAR BUILDERS LLC,1591,Current,,,
1593,91200339,TUNNEL ROAD SIDEWALK CONSTRUCTION                 ,7653,ED HOLMES & ASSOCIATES,CLOSED,CON  (CONSTUCT/R),,2013/05/21 00:00:00+00,224120,182805.75,11906,"DISASTER RECOVERY GROUP AND TREE SERVICE, INC.",1592,90+,,,
1594,91300213,PACK SQ. PARK GROUND MAINTENANCE                  ,8643,VALLEYCREST LANDSCAPE DEVELOPM,CLOSED,LW   (DON'T USE),,2013/10/24 00:00:00+00,60000,59969,13811,PINNACLE LANDSCAPE LLC.,1593,90+,,,
1595,92000218,TRAFFIC CALMING - HAZEL MILL                      ,6722,BLAIR TOWING & RECOVERY SVC,CLOSED,CON  (CONSTUCT/R),,2020/06/04 00:00:00+00,58600,52600,16673,"APPALACHIAN PAVING AND CONCRETE, INC.",1594,90+,,,
1596,91900444,OVERLOOK RD SIDEWALK - SPRINGSIDE TO BRAIRCLIFF   ,6804,SJR INC DBA KITCHENS UNLIMITE,CLOSED,PRO  (PRO SERVIC),SUPPLMNTL ON CALL,2022/01/18 00:00:00+00,20758,14695,29854,"WITHERSRAVENEL, INC.",1595,90+,,,
1597,92000412,COVID-19 CALL CENTER                              ,19818,"EVERBRIDGE, INC.",CLOSED,GS   (GEN SERV),,2021/03/16 00:00:00+00,6396.81,10861.78,34390,"RINGFREE COMMUNICATIONS, INC.",1596,31-60,,,
1598,92100064,CDBG FY18/19 CONTINUUM OF SUCCESS / HMMM          ,32038,"MAULDIN & JENKINS, LLC",POSTED,HUD (GEN SERV-HUD),CDBG,2021/08/20 00:00:00+00,175000,175000,2935,YMI CULTURAL CENTER,1597,61-90,,,
1599,91500202,HOMEWARD BOUND SPF GRANT FY 14-15 AHOPE           ,12722,"P.I.P.S. INSTALLATION, INC.",CLOSED,GS   (GEN SERV),,2016/06/10 00:00:00+00,25000,25000,1211,HOMEWARD BOUND,1598,1-30,,,
1600,91200292,STRAUS COL TRAINING                               ,16792,"AIR PRODUCTS AND CHEMICALS, INC.",CLOSED,GS   (GEN SERV),,2012/04/02 00:00:00+00,8500,8500,10877,DEVELOPMENTAL ASSOCIATES,1599,31-60,,,
1601,91300248,CONSTRUCTION OF SIX NEW TRANSIT BUS SHELTERS      ,30201,RISK VERSITY LLC,CLOSED,CON  (CONSTUCT/R),,2013/11/13 00:00:00+00,46965,73221.89,16421,"ALLISON CONTRACTORS, LLC",1600,61-90,,,
1602,91900302,RICHMOND HILL SEPTIC FIELD CLEARING               ,27000,AZTECA SYSTEMS HOLDINGS LLC,CLOSED,GS   (GEN SERV),,2019/06/04 00:00:00+00,9000,7500,31852,TAYLOR JOHNSON,1601,1-30,,,
1603,91100778,MATTERN & CRAIG                                   ,33441,SHUVONDA HARPER,CLOSED,GENERAL,,2012/06/28 00:00:00+00,7750,1975,1754,MATTERN & CRAIG,1602,61-90,,,
1604,91100525,OLD TOLL ROAD RETAINING WALL                      ,8674,ASHEVILLE PAINTING CO.,CLOSED,CON  (CONSTUCT/R),,2012/08/30 00:00:00+00,305326.7,310603.7,11266,"BRYANT'S LAND AND DEVELOPMENT INDUSTRIES, INC.",1603,Current,,,
1605,91000393,ELEVATOR MAINTENANCE IN GARAGES                   ,32462,"AMARANTH HOMESTEAD, LLC",CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,9900,9900,39,ASHEVILLE ELEVATOR COMPANY,1604,90+,,,
1606,91300045,BELE CHERE GENERATOR RENTAL                       ,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",CLOSED,RNT  (EQUIP RENT),,2013/04/15 00:00:00+00,8120,7630,4007,HERC RENTALS INC,1605,Current,,,
1607,91100325,CRIMESTOPPERS INTERLOCAL AGREEMENT WITH B.C.      ,31778,ELECTRIC MOTORS,CLOSED,GS   (GEN SERV),,2011/11/16 00:00:00+00,40796,55796,416,BUNCOMBE COUNTY FINANCE DEPT,1606,Current,,,
1608,92200066,POSTAGE - WATER RESOURCES                         ,20722,COLIN BAENZIGER,POSTED,GS   (GEN SERV),SUPPLEMENTAL,2021/08/20 00:00:00+00,450000,450000,3204,MAIL MANAGEMENT SERVICES,1607,31-60,,,
1609,91500111,CONCRETE MAINTENANCE AND ADA IMPROVEMENTS         ,22748,"155 BILTMORE, LLC",CLOSED,CON  (CONSTUCT/R),,2016/01/04 00:00:00+00,195475,193075.6,10485,"PATTON CONSTRUCTION GROUP, INC.",1608,90+,,,
1610,92100328,GERM CONTROL AND DISINFECTION SERVICES            ,25081,ROTO-ROOTER ASHEVILLE,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,89000,89000,36022,PENCARINHA INC,1609,31-60,,,
1611,91400198,EAN CONTRACT 2013-14                              ,35743,"ALLTEK SECURITY, INC",CLOSED,GS   (GEN SERV),,2016/06/17 00:00:00+00,11487,5743.5,7727,EMPLOYEE ASSISTANCE NETWORK IN,1610,Current,,,
1612,91100328,BP PRINTING MASTER CONTRACT-COMMERICAL PRINTING   ,20223,"PALMER ELECTRICAL CONTRACTING, INC.",CLOSED,LW   (DON'T USE),,2019/03/27 00:00:00+00,175000,68707.24,10512,"BP SOLUTIONS GROUP, INC.",1611,1-30,,,
1613,92000298,MUNI BLDG APPARATUS BAY ANALYSIS AND DESIGN       ,13546,UNIFIRST CORPORATION,POSTED,PRO  (PRO SERVIC),SUPPLMNTL ON CALL,2021/11/16 00:00:00+00,18914.5,68436.63,29523,"TERRACON CONSULTANTS, INC",1612,1-30,,,
1614,91900085,SWANNANOA RIVER WATERSHED FLOOD RISK MGT PROJECT  ,34234,MCS ELECTRICAL INC.,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,319850,319850,8193,US ARMY CORPS OF ENGINEERS,1613,Current,,,
1615,91600094,INSTALL TRAFFIC LIGHT MONTFORD/SOCO               ,112,ASHEVILLE WASTE PAPER,CLOSED,CON  (CONSTUCT/R),,2016/02/03 00:00:00+00,26400.5,24950.4,3962,GREEN LIGHT ELECTRIC CO,1614,31-60,,,
1616,91800413,GEOTECHNICAL WORK OAK HILL - MSA 91800380         ,17071,"COMMERCIAL INSURANCE CONSULTANTS, INC.",CLOSED,PRO  (PRO SERVIC),,2019/06/13 00:00:00+00,10500,10500,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",1615,Current,,,
1617,91000387,COST ESTIMATING SERVICE FOR REED CREEK GREENWAY   ,19495,AFFION PUBLIC,CLOSED,PRO  (PRO SERVIC),,2010/03/12 00:00:00+00,2300,2300,8125,AIKEN COST CONSULTANTS,1616,31-60,,,
1618,91600204,TOPOGRAPHIC SURVEY - SITE IMPROVEMENTS            ,2908,URSULA POWERS,CLOSED,PRO  (PRO SERVIC),,2016/06/09 00:00:00+00,15000,12405,7653,ED HOLMES & ASSOCIATES,1617,31-60,,,
1619,91100584,THE VERDIN CO MAINTENANCE AGREEMENT CH BELL       ,9134,BENJAMIN E.P.S. DAVIES,CLOSED,GS   (GEN SERV),,2010/11/24 00:00:00+00,600,600,11105,I.T. VERDIN CO.,1618,61-90,,,
1620,91600265,"DATA CABLE AT 200 BINGHAM ROAD, INCLUDES INSTALL  ",10477,GREENE'S CONSTRUCTION COMPANY,CLOSED,CON  (CONSTUCT/R),,2016/08/01 00:00:00+00,9485,11275,1188,M B HAYNES CORPORATION,1619,Current,,,
1621,91600104,WATER RESOURCES RETREAT                           ,38077,"ENTERPRISE IT SOLUTIONS, LLC",CLOSED,GS   (GEN SERV),,2016/06/07 00:00:00+00,11500,11002.78,21662,JO M MATTOON,1620,90+,,,
1622,91600351,ALERTLOGIC LOG MANAGER                            ,12673,"REED, MELISA BUTLER",CLOSED,IT/TECH,,2017/06/23 00:00:00+00,27808,27808,24850,CEQUEL DATA CENTERS LP,1621,1-30,,,
1623,91000609,                                                  ,10352,BUNCOMBE CO TOURISM DEVELOPMENT AUTHORITY,CLOSED,CON  (CONSTUCT/R),,2010/08/19 00:00:00+00,25229,25229,1684,MCNUTT SERVICE GROUP INC,1622,1-30,,,
1624,92000398,NF CLEARWELL/GEO TEC                              ,37384,"PBMARES, LLP",POSTED,PRO  (PRO SERVIC),MASTER ON CALL,2021/08/20 00:00:00+00,473000,819500,5778,BROWN AND CALDWELL,1623,61-90,,,
1625,92100260,PROPERTY TAX BILLING FEE                          ,34358,"CRITICAL INCIDENT VIDEOS, LLC",POSTED,GS   (GEN SERV),,2022/01/05 00:00:00+00,835375,1691635,416,BUNCOMBE COUNTY FINANCE DEPT,1624,Current,,,
1626,91200317,"NCDOT PROJECT R-2813B, OLD PO 101534              ",18114,"CAROLINA TIME EQUIPMENT CO., INC.",CLOSED,CON  (CONSTUCT/R),,2013/05/24 00:00:00+00,918851.3,612567.53,1881,NC DEPT OF TRANSPORTATION,1625,31-60,,,
1627,91300274,LIBRICATE DISTRIBUTION SYSTEM                     ,19230,THE SPORTS FLOORING GROUP,CLOSED,CON  (CONSTUCT/R),,2014/05/21 00:00:00+00,35952.34,35819.26,1379,ISGETT DISTRIBUTORS,1626,31-60,,,
1628,91900204,TEXT MSG SMS REPLACE NEXTBUS-REAL-TIME BUS ARRIVAL,7865,MONTREAT COLLEGE,POSTED,GS   (GEN SERV),,2021/05/14 00:00:00+00,11988,35964,31059,"TEXTMARKS, INC.",1627,31-60,,,
1629,92100170,ACOUSTIC TESTING AND RECOMMENDED HVAC - HCCA      ,38660,"EVIDENCE IQ,INC",POSTED,PRO  (PRO SERVIC),EXEMPTION,2021/08/20 00:00:00+00,16000,16000,35637,"THORBURN ASSOCIATES,INC",1628,61-90,,,
1630,92100458,FRENCH BROAD RIVER GREENWAY WEST PAVING           ,33577,"DAKTRONICS, INC.",POSTED,CON  (CONSTUCT/R),,2021/08/20 00:00:00+00,3577798,3577798,37306,IPC PAVING LLC,1629,61-90,,,
1631,92200243,                                                  ,2803,WEST PUBLISHING COMPANY,CREATED,GS   (GEN SERV),,2021/11/17 00:00:00+00,,,0,,1630,31-60,,,
1632,92100441,INSPECTION OF BREAKER AT MILLS RIVER              ,11721,"BENSMAN, SARA",CLOSED,GS   (GEN SERV),,2021/05/05 00:00:00+00,3000,3000,10652,CONSOLIDATED ELECTRICAL DIST.,1631,1-30,,,
1633,91300073,BELE CHERE ENTERTAINMENT/DIRECTPAID               ,20011,"KERCHER ENGINEERING, INC.",CLOSED,ENT  (ENTERTAIN),,2012/07/27 00:00:00+00,9000,0,14770,"LUCERO, LLC",1632,Current,,,
1634,91800253,SHORT TERM RENTAL MONITORING AND COMPLIANCE       ,193,ASHEVILLE CONTRACTING COMPANY,CLOSED,GS   (GEN SERV),,2020/06/16 00:00:00+00,26617.5,83235,25784,"HOST COMPLIANCE, LLC",1633,61-90,,,
1635,91400105,PUBLIC SURPLUS AUCTION                            ,11440,"PAUL HOWARD CONSTRUCTION CO., INC.",CLOSED,GS   (GEN SERV),,2018/02/26 00:00:00+00,30000,13132.77,8776,THE PUBLIC GROUP,1634,1-30,,,
1636,91900268,FLEET MAINTENANCE                                 ,28044,THE EI GROUP INC,CLOSED,GS   (GEN SERV),,2019/04/24 00:00:00+00,28979.81,26737.41,7342,CAROLINA TRACTOR & EQUIPMENT COMPANY,1635,Current,,,
1637,91100600,REMITTANCE PROCESSOR LEASE L1188-EXT-3            ,33544,"SZOSTAK DESIGN, INC.",CLOSED,LS   (LEASE SVCS),,2012/08/30 00:00:00+00,2740,10960,3394,ONTARIO INVESTMENTS INC,1636,31-60,,,
1638,91200102,EAST OAKVIEW BRIDGE BIDDING AND CONSTRUCTION ASSIS,30701,"LORD AECK SARGENT, A KATERRA COMPANY, PLLC",CLOSED,PRO  (PRO SERVIC),,2013/04/17 00:00:00+00,22480,7580,2751,"VAUGHN & MELTON CONSULTING ENGINEERS,INC.",1637,31-60,,,
1639,91200083,"ROAD, UTILITY AND FLOOD MGMT IMPROVE - AZALEA RD  ",25120,WALTER P. MOORE & ASSOCIATES,CLOSED,PRO  (PRO SERVIC),,2019/03/27 00:00:00+00,1263206,1380769.23,1706,MCGILL ASSOCIATES PA,1638,90+,,,
1640,91100637,VET SERVICES FOR APD K-9 DOGS                     ,17679,DOLAN CONSULTING GROUP,CLOSED,GENERAL,,2013/07/31 00:00:00+00,4023.5,3913.87,188,ANIMAL HOSPITAL OF NORTH ASHEV,1639,61-90,,,
1641,91700335,HOUSING AUTHORITY OF COA - TBRA FY 16-17          ,37412,FIRE RECOVERY USA LLC,CLOSED,HUD (GEN SERV-HUD),HOME,2020/06/12 00:00:00+00,50000,50000,1203,HOUSING AUTHORITY OF THE CITY OF ASHEVILLE,1640,Current,,,
1642,91100078,BC ENTERTAINER - THE TRAINWRECKS                  ,5540,CAT NETWORKS & SECURITY,CLOSED,ENT  (ENTERTAIN),,2010/07/02 00:00:00+00,500,500,10713,THE TRAINWRECKS,1641,Current,,,
1643,91400117,CITY ATTORNEY EXECUTIVE SEARCH CONTRACT           ,112,ASHEVILLE WASTE PAPER,CLOSED,GS   (GEN SERV),,2014/06/17 00:00:00+00,18000,21231.28,17471,"THE MERCER GROUP, INC.",1642,61-90,,,
1644,91900441,RICHMOND HILL WATERLINE EXTENSION                 ,38758,SARAH DICKERSON,CLOSED,CON  (CONSTUCT/R),,2020/04/14 00:00:00+00,48315,46645,32490,BARTLETT CONSTRUCTION & LANDSCAPING CO.,1643,1-30,,,
1645,92100119,MASTER ON-CALL AGREEMENT                          ,4174,CAROLINA MOUNTAIN ROOFING,POSTED,PRO  (PRO SERVIC),MASTER ON CALL,2021/08/20 00:00:00+00,0,1,4203,CAVANAUGH & ASSOCIATES PA,1644,31-60,,,
1646,91600157,YWCA OF ASHEVILLE SPF MOTHER LOVE GRANT FY 15-16  ,190,ALARM SERVICES OF ASHEVILLE INC.,CLOSED,GS   (GEN SERV),,2016/08/01 00:00:00+00,12000,12000,2926,Y W C A,1645,Current,,,
1647,91100510,PACK SQUARE PARK SECURITY 11/1/10-10/31/10        ,18553,"DEANGELO BROTHERS, INC.",CLOSED,GS   (GEN SERV),,2013/10/24 00:00:00+00,76445.32,76046.79,11227,G4S SECURE SOLUTIONS (USA) INC.,1646,31-60,,,
1648,91900314,ENGINEERING-TREATMENT IMPROV & RESIDUALS DISPOSAL ,19740,THE BUDD GROUP INC.,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,218500,251275,21083,"GHD CONSULTING SERVICES, INC.",1647,90+,,,
1649,92000401,PLANT INSTALLATION                                ,30426,ALFRED BENESCH & COMPANY,CLOSED,GS   (GEN SERV),,2020/08/10 00:00:00+00,27211.64,27211.64,6055,RIVERTOP CONTRACTING INC,1648,90+,,,
1650,91100333,ASHEVILLE SECURITY SYSTEMS SERVICE                ,4702,BEST BUY INC - SOUTH TUNNEL RO,CLOSED,GS   (GEN SERV),,2012/06/26 00:00:00+00,9480,18640,190,ALARM SERVICES OF ASHEVILLE INC.,1649,31-60,,,
1651,91400075,RECONFIGURATION OF OFFICE SPACE                   ,11164,"BOSEMAN, DYSHANNA",CLOSED,CON  (CONSTUCT/R),,2013/07/24 00:00:00+00,4100,4100,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,1650,31-60,,,
1652,91500216,LYMA ST/RIVERSIDE DRIVE REVIEW OF CONSTRUCTION PLA,7233,"KATHY MARTH, M. A.",CLOSED,PRO  (PRO SERVIC),,2015/06/17 00:00:00+00,12900,12900,20175,"ALTA PLANNING & DESIGN, INC.",1651,61-90,,,
1653,91800051,REMOTE CREDIT CARD READERS FOR SPECIAL EVENTS     ,10080,PARKWAY HARLEY- DAVIDSON,CLOSED,GS   (GEN SERV),,2020/06/02 00:00:00+00,10100,28776,27978,BALLPARC LLC,1652,31-60,,,
1654,92100085,TREE REMOVAL - GRIFFIN BLVD ROSE GARDEN           ,10436,BUSINESS EQUIPMENT SERVICE,CLOSED,GS   (GEN SERV),,2020/11/11 00:00:00+00,7220,7220,33281,"CATAWBA TREE EXPERTS,INC.",1653,1-30,,,
1655,91100367,APD - FY11 COMM EQUIPMENT REPAIR SERVICES         ,8081,JESSE DAVID WALKER,CLOSED,GS   (GEN SERV),,2014/06/16 00:00:00+00,15000,30000.06,27632,MOBILE COMMUNICATIONS AMERICA INC,1654,1-30,,,
1656,91500087,LAKE CRAIG PROJECT - MASTER CONTRACT 91400173     ,22201,"SE DIVING SERVICES, LLC",CLOSED,CON  (CONSTUCT/R),,2016/03/31 00:00:00+00,1869954.96,1721684.94,5264,YOUNG & MCQUEEN GRADING CO.,1655,31-60,,,
1657,91000164,ATHLETIC OFFICIAL FOR CITY LEAGUES                ,7218,ST LAWRENCE ASSEMBLY 781,CLOSED,GS   (GEN SERV),,2013/10/11 00:00:00+00,1000,1000,10017,"RECTOR, JASON",1656,Current,,,
1658,92000375,2020 ESG CARING FOR CHILDREN - ECKERD YOUTH ALT.  ,35619,WYATT GRANT,CLOSED,HUD (GEN SERV-HUD),ESG,2020/06/10 00:00:00+00,20000,0,7049,CARING FOR CHILDREN,1657,Current,,,
1659,91400029,"POSTAGE FOR WATER RESOURCES, FY2014               ",28534,NETWORKFLEET INC,CLOSED,GS   (GEN SERV),,2016/06/07 00:00:00+00,225000,299832.37,3204,MAIL MANAGEMENT SERVICES,1658,Current,,,
1660,92000461,ENG. - MILLS RIVER MISC PHASE II/#5               ,27001,GOVHR USA,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,1349500,1349500,16589,CDM SMITH,1659,1-30,,,
1661,91900059,ELSIE BRIDGE GREENWAY CONNECTION .                ,11105,I.T. VERDIN CO.,CLOSED,PRO  (PRO SERVIC),,2021/03/10 00:00:00+00,34458.6,33272.42,29854,"WITHERSRAVENEL, INC.",1660,90+,,,
1662,91500066,REEM'S CREEK:  AUTOMATIC AID RESPONSE 3 OF 3 CLOSE,34390,"RINGFREE COMMUNICATIONS, INC.",POSTED,GS   (GEN SERV),,2021/10/25 00:00:00+00,0,194107.8,4080,REEMS CREEK VALLEY FIRE DEPT,1661,1-30,,,
1663,91800095,CHILLER MAINTANCE CONTRACT                        ,26791,LESCO RESTORATIONS INC,POSTED,GS   (GEN SERV),,2021/09/20 00:00:00+00,24390,128634,1713,DAIKIN APPLIED AMERICAS INC.,1662,90+,,,
1664,92100140,BILTMORE GARAGE GENERATOR PM SERVICE              ,13138,"WOLFE AND ASSOCIATES, INC.",POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,5000,5000,25579,NATIONAL POWER CORP,1663,1-30,,,
1665,92100510,CAPACITY BUILDING TRAINING FOR MBES               ,1307,H & M CONSTRUCTORS,POSTED,GS   (GEN SERV),,2022/02/24 00:00:00+00,0,50000,37387,"INTERISE,INC",1664,90+,,,
1666,91600294,POOL MAINT. & REPAIR - POOL PREP PRESEASON        ,20066,"BRYCER, LLC         ",CLOSED,CON  (CONSTUCT/R),,2016/08/03 00:00:00+00,28295,28295,13352,"LEGACY COMMERCIAL POOL SERVICES, INC.",1665,31-60,,,
1667,91200162,CONSERVATION WORK ON BRONZE SCULPTURE AT MLK PARK ,20617,CAROLINA SMALL BUSINESS DEVELOPMENT FUND,CLOSED,GS   (GEN SERV),,2012/08/30 00:00:00+00,10000,10000,6692,CONSERVATION SOLUTIONS INC,1666,61-90,,,
1668,91900171,ELECTRICAL WORK 1ST FLOOR RECONFIGURATION         ,4657,SOFTWARE HOUSE INTERNATIONAL,CLOSED,CON  (CONSTUCT/R),,2019/05/17 00:00:00+00,17300,19567,4142,GRIGG ELECTRIC CO. INC,1667,1-30,,,
1669,91700303,NF WTP DAM/SPILLWAY UPGRADE PHASE II: CONST SERV  ,5540,CAT NETWORKS & SECURITY,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,4350170,4547568,4596,SCHNABEL ENGINEERING SOUTH PC,1668,1-30,,,
1670,91100063,CATERING DURING FIRE DEPT. EVENT                  ,37844,DR. MATTHEW ALAN MAHAR,CLOSED,GENERAL,,2010/07/01 00:00:00+00,797.2,797.2,2956,OPEN,1669,Current,,,
1671,91600152,CNG COMPRESSOR REPAIR                             ,37010,UNDERWATER CONSTRUCTION CORPORATION,CLOSED,GS   (GEN SERV),,2019/04/30 00:00:00+00,10850,16575.25,12038,"AIR COMPONENTS & SYSTEMS, LTD",1670,1-30,,,
1672,91600234,VICTORIA ROAD WATERLINE IMPROVEMENTS PROJECT      ,8186,HIGHLAND MEDICAL ASSOCIATES,CLOSED,CON  (CONSTUCT/R),,2016/12/13 00:00:00+00,673514.5,593626.36,24009,"BUCKEYE BRIDGE, LLC ",1671,1-30,,,
1673,91000575,RADIO/DISPATCH REPAIRS AT METER SER & MAINT       ,19827,"BOWEN NATIONAL RESEARCH, LLC",CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,2000,1675.5,27632,MOBILE COMMUNICATIONS AMERICA INC,1672,90+,,,
1674,92200237,PACK SQUARE IRRIGATION ASSESSMENT AND MAINTENANCE ,10757,"DOWLING, BRYAN C.",POSTED,GS   (GEN SERV),,2021/11/04 00:00:00+00,24550,24550,31251,"K2 IRRIGATION SERVICES, INC",1673,61-90,,,
1675,92000361,19-20 SPF ASPIRE KIDS AT WORK                     ,1188,M B HAYNES CORPORATION,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2021/06/07 00:00:00+00,5000,5000,34184,"ASPIRE YOUTH & FAMILY, INC.",1674,90+,,,
1676,91100231,CAROLINA CAT                                      ,21650,JULIE ARMBRUSTER    ,CLOSED,GENERAL,,2012/06/29 00:00:00+00,3835,2392.5,7342,CAROLINA TRACTOR & EQUIPMENT COMPANY,1675,1-30,,,
1677,91300061,PLYMOVENT EXTENDED WARRANTY SERVICE PLAN          ,7873,HIGHWATER CLAYS,CLOSED,GENERAL,,2012/07/12 00:00:00+00,11062.82,11062.82,178,AIR CLEANING SPECIALISTS INC,1676,31-60,,,
1678,92000243,GEOEVENT SERVER SOFTWARE ADD ON                   ,782,DOVER INSULATION INC.,CLOSED,GS   (GEN SERV),,2021/04/21 00:00:00+00,5500,3360.27,947,"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC",1677,31-60,,,
1679,91300047,BELE CHERE SECURITY                               ,4229,CROWN CASTLE  AKA PINNACLE TOWERS,CLOSED,PRO  (PRO SERVIC),,2012/07/06 00:00:00+00,30826.75,30826.75,8553,"AXIS SECURITY, INC.",1678,31-60,,,
1680,92100195,20/21 EDC GEN OP SUPPORT                          ,2761,APAC ATLANTIC INC,CLOSED,GS   (GEN SERV),SERVICE,2021/06/29 00:00:00+00,60000,60000,35,ASHEVILLE CHAMBER OF COMMERCE,1679,Current,,,
1681,91300085,KAI NELSON FINANCIAL CONSULTING                   ,19133,INTERNATIONAL ASSOC OF FIREFIGHTERS,CLOSED,GS   (GEN SERV),,2013/06/25 00:00:00+00,27000,28660.14,11135,"EXECLINK, LLC",1680,31-60,,,
1682,91400181,SECURITY SERVICES                                 ,30697,"DUKE ENERGY PROGRESS, LLC",CLOSED,GS   (GEN SERV),,2015/08/04 00:00:00+00,75000,90000,21842,"S & S MANAGEMENT GROUP, LLC",1681,90+,,,
1683,91800299,NEP AREA 3 PHASE 2 PROJECT (TUNNEL/BEAUCATCHER)   ,8332,SASHA ALEXANDRA VRTUNSKI,CLOSED,CON  (CONSTUCT/R),,2021/05/25 00:00:00+00,2013316,1887474.86,24009,"BUCKEYE BRIDGE, LLC ",1682,31-60,,,
1684,91000488,APD: IN CAR CAMERA WIRING & PW SINGLE DROP        ,39,ASHEVILLE ELEVATOR COMPANY,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,808.86,808.86,5540,CAT NETWORKS & SECURITY,1683,1-30,,,
1685,91600133,REPAIR DAMAGED METAL POLE ON BILTMORE AVE         ,10721,"LETA RECORDS, LLC",CLOSED,CON  (CONSTUCT/R),,2017/06/09 00:00:00+00,10526.4,10526.4,1188,M B HAYNES CORPORATION,1684,1-30,,,
1686,91600172,HOMEWARD BOUND AHOPE DAY CENTER SFP FY 15-16      ,3157,KLOESEL ENGINEERING PA,CLOSED,GS   (GEN SERV),,2017/06/07 00:00:00+00,28400,28400,1211,HOMEWARD BOUND,1685,Current,,,
1687,91900289,HILL ST AND BINGHAM RD INFILL SIDEWALK            ,10765,KRK COMMUNICATIONS,CLOSED,CON  (CONSTUCT/R),,2020/01/14 00:00:00+00,286734.3,223004.18,10485,"PATTON CONSTRUCTION GROUP, INC.",1686,31-60,,,
1688,92000451,MEZZ CARPET                                       ,14285,"BERRIER, JONATHAN NEIL",CLOSED,GS   (GEN SERV),,2021/06/09 00:00:00+00,33785,31574.74,20985,"PROFESSIONAL BUSINESS INTERIORS, INC",1687,61-90,,,
